***************************************-------------------第0个中心-------------------
center: 武将 [name=孟达, render=★★★★, tongshai=75, wuli=73, zhili=74, polic=66, qiangbin=通, jibin=通, nubin=精, qibin=疏, binqi=精, tongwu=148, tongzhi=149, tongwuzhi=222, tongwuzhizheng=288, salary=15840]
此类中包含对象的个数为：84
general:武将 [name=庞德, render=★★★★★, tongshai=80, wuli=94, zhili=70, polic=44, qiangbin=通, jibin=精, nubin=精, qibin=神, binqi=通, tongwu=174, tongzhi=150, tongwuzhi=244, tongwuzhizheng=288, salary=15840]
general:武将 [name=魏延, render=★★★★★, tongshai=81, wuli=92, zhili=69, polic=49, qiangbin=精, jibin=神, nubin=通, qibin=精, binqi=疏, tongwu=173, tongzhi=150, tongwuzhi=242, tongwuzhizheng=291, salary=16005]
general:武将 [name=関兴, render=★★★★★, tongshai=76, wuli=86, zhili=62, polic=58, qiangbin=精, jibin=神, nubin=通, qibin=精, binqi=疏, tongwu=162, tongzhi=138, tongwuzhi=224, tongwuzhizheng=282, salary=15510]
general:武将 [name=孙尚香, render=★★★★★, tongshai=72, wuli=86, zhili=67, polic=63, qiangbin=精, jibin=通, nubin=神, qibin=通, binqi=疏, tongwu=158, tongzhi=139, tongwuzhi=225, tongwuzhizheng=288, salary=15840]
general:武将 [name=马岱, render=★★★★★, tongshai=81, wuli=85, zhili=56, polic=54, qiangbin=通, jibin=通, nubin=通, qibin=神, binqi=通, tongwu=166, tongzhi=137, tongwuzhi=222, tongwuzhizheng=276, salary=15180]
general:武将 [name=傅佥, render=★★★★, tongshai=73, wuli=85, zhili=72, polic=46, qiangbin=通, jibin=精, nubin=疏, qibin=精, binqi=通, tongwu=158, tongzhi=145, tongwuzhi=230, tongwuzhizheng=276, salary=15180]
general:武将 [name=鄧忠, render=★★★★, tongshai=72, wuli=85, zhili=69, polic=55, qiangbin=神, jibin=通, nubin=通, qibin=精, binqi=精, tongwu=157, tongzhi=141, tongwuzhi=226, tongwuzhizheng=281, salary=15455]
general:武将 [name=阎行, render=★★★★, tongshai=72, wuli=84, zhili=61, polic=58, qiangbin=通, jibin=通, nubin=疏, qibin=精, binqi=疏, tongwu=156, tongzhi=133, tongwuzhi=217, tongwuzhizheng=275, salary=15125]
general:武将 [name=公孙瓒, render=★★★★★, tongshai=84, wuli=83, zhili=70, polic=46, qiangbin=通, jibin=疏, nubin=精, qibin=神, binqi=通, tongwu=167, tongzhi=154, tongwuzhi=237, tongwuzhizheng=283, salary=15565]
general:武将 [name=黄蓋, render=★★★★, tongshai=79, wuli=83, zhili=65, polic=65, qiangbin=通, jibin=精, nubin=神, qibin=疏, binqi=通, tongwu=162, tongzhi=144, tongwuzhi=227, tongwuzhizheng=292, salary=16060]
general:武将 [name=文聘, render=★★★★★, tongshai=86, wuli=82, zhili=66, polic=69, qiangbin=精, jibin=神, nubin=通, qibin=疏, binqi=通, tongwu=175, tongzhi=145, tongwuzhi=231, tongwuzhizheng=277, salary=15235]
general:武将 [name=関平, render=★★★★, tongshai=77, wuli=82, zhili=68, polic=60, qiangbin=神, jibin=精, nubin=通, qibin=精, binqi=疏, tongwu=159, tongzhi=145, tongwuzhi=227, tongwuzhizheng=287, salary=15785]
general:武将 [name=高览, render=★★★★, tongshai=76, wuli=82, zhili=66, polic=55, qiangbin=通, jibin=疏, nubin=疏, qibin=精, binqi=疏, tongwu=158, tongzhi=142, tongwuzhi=224, tongwuzhizheng=279, salary=15345]
general:武将 [name=孙礼, render=★★★★, tongshai=78, wuli=81, zhili=62, polic=73, qiangbin=通, jibin=精, nubin=疏, qibin=精, binqi=通, tongwu=159, tongzhi=140, tongwuzhi=221, tongwuzhizheng=294, salary=16170]
general:武将 [name=李通, render=★★★★, tongshai=73, wuli=81, zhili=57, polic=63, qiangbin=精, jibin=疏, nubin=疏, qibin=精, binqi=通, tongwu=154, tongzhi=130, tongwuzhi=211, tongwuzhizheng=274, salary=15070]
general:武将 [name=马腾, render=★★★★, tongshai=82, wuli=80, zhili=51, polic=59, qiangbin=通, jibin=精, nubin=疏, qibin=神, binqi=疏, tongwu=162, tongzhi=133, tongwuzhi=213, tongwuzhizheng=272, salary=14960]
general:武将 [name=丁奉, render=★★★★, tongshai=81, wuli=80, zhili=71, polic=55, qiangbin=神, jibin=精, nubin=通, qibin=精, binqi=通, tongwu=161, tongzhi=152, tongwuzhi=232, tongwuzhizheng=287, salary=15785]
general:武将 [name=张梁, render=★★★★, tongshai=78, wuli=80, zhili=68, polic=52, qiangbin=神, jibin=疏, nubin=疏, qibin=精, binqi=精, tongwu=158, tongzhi=146, tongwuzhi=226, tongwuzhizheng=278, salary=15290]
general:武将 [name=于禁, render=★★★★, tongshai=84, wuli=78, zhili=70, polic=57, qiangbin=精, jibin=通, nubin=疏, qibin=精, binqi=疏, tongwu=162, tongzhi=154, tongwuzhi=232, tongwuzhizheng=289, salary=15895]
